id,sumodb_id,nsk_id,ring_name,current_rank,height,weight,total_wins,total_losses,total_matches,rank_group,age,win_rate,debut_year,tenure,ichimon
692,12014,0,Wakanoumi Shunpei,Retired,178.0,97.7,202,201,403,4,27,50.12,2012,10,Takasago
7698,10872,0,Komanishiki,Retired,0.0,0.0,74,79,153,4,0,48.37,1956,5,Unaffilliated
382,12772,4163,Ikazuchido,Sandanme,180.0,91.0,51,40,91,3,19,56.04,2022,2,Unaffilliated
3080,12077,0,Takagenji Satoshi,Retired,186.0,126.2,271,248,519,4,27,52.22,2013,8,Nishonoseki
1841,8131,0,Fukada,Retired,171.0,103.0,14,28,42,4,63,33.33,1976,1,Unaffilliated
4163,11952,0,Ugonoumi Daisuke,Retired,178.0,108.6,79,68,147,4,30,53.74,2011,4,Unaffilliated
3419,6458,0,Yamatofuji Mitsuru,Retired,188.0,146.0,272,218,490,4,40,55.51,2004,13,Nishonoseki
4825,213,0,Tochishimizu Yoshiki,Retired,181.4,158.5,232,218,450,4,51,51.56,1989,12,Dewanoumi
990,4126,0,Sadanoumi Koji,Retired,181.0,126.0,544,581,1125,4,68,48.36,1972,16,Dewanoumi
1772,4047,0,Tochiazuma Tomoyori,Retired,174.0,115.0,611,593,1204,4,80,50.75,1960,17,Dewanoumi
3781,651,0,Takenomichi Michihiro,Retired,170.0,166.5,216,234,450,4,50,48.0,1993,11,Dewanoumi
530,12720,4111,Gaia,Retired,174.0,70.0,34,36,70,4,19,48.57,2021,2,Dewanoumi
2766,6847,0,Tepponada,Retired,175.0,100.0,210,198,408,4,84,51.47,1958,10,Unaffilliated
7723,10493,0,Uranohana,Retired,0.0,0.0,30,34,64,4,0,46.88,1954,5,Unaffilliated
3631,285,0,Chiyotenma Akira,Retired,173.5,141.0,228,207,435,4,47,52.41,1993,11,Takasago
4588,7174,0,Wakakuramochi Hiroaki,Retired,170.0,108.0,5,9,14,4,33,35.71,2007,0,Unaffilliated
3567,532,0,Ichinoya Mitsuru,Retired,168.0,100.0,484,518,1002,4,64,48.3,1983,24,Takasago
4729,6566,0,Daishonada Ryuji,Retired,174.0,73.0,3,4,7,4,35,42.86,2005,1,Tokisuzake
4730,6457,0,Oba Ryuji,Retired,187.0,135.0,0,1,1,4,37,0.0,2004,1,Unaffilliated
3190,11826,0,Bankoku Kazunori,Retired,179.0,153.3,215,205,420,4,35,51.19,2010,10,Dewanoumi
8628,11058,0,Otsubaki,Retired,0.0,0.0,57,57,114,4,0,50.0,1958,3,Unaffilliated
3696,268,0,Takahijiri Shoji,Retired,177.0,128.0,311,304,615,4,51,50.57,1989,15,Unaffilliated
2463,4026,0,Wakamiyama Kohei,Retired,177.0,176.0,417,402,819,4,81,50.92,1957,12,Dewanoumi
5704,2029,0,Seonishiki Seikichi,Retired,189.0,137.0,64,102,166,4,51,38.55,1989,4,Unaffilliated
8809,11382,0,Matsudaiwa,Retired,0.0,0.0,9,12,21,4,0,42.86,1960,1,Unaffilliated
2956,5866,0,Tesshin Shigeru#,Retired,0.0,0.0,93,102,195,4,80,47.69,1960,6,Dewanoumi
4913,1,0,Akebono Taro,Retired,204.0,200.0,654,232,886,4,55,73.81,1988,13,Unaffilliated
582,12631,4022,Sadanojo,Jonokuchi,168.0,128.0,46,87,133,3,19,34.59,2020,4,Dewanoumi
1589,6811,0,Kotohitachi Toru#,Retired,173.0,73.0,72,75,147,4,64,48.98,1976,4,Nishonoseki
8808,10997,0,Yoshioka,Retired,0.0,0.0,3,4,7,4,0,42.86,1960,0,Unaffilliated
8751,11110,0,Ichinoseki,Retired,0.0,0.0,28,36,64,4,0,43.75,1958,2,Unaffilliated
