id,total_wins,total_losses,total_matches
613,26,13,39
555,78,146,224
261,214,219,433
526,388,386,774
29,530,522,1052
58,205,169,374
552,58,75,133
56,149,100,249
221,89,61,150
285,142,131,273
501,126,174,300
38,465,426,891
126,127,92,219
45,521,272,793
7,360,249,609
498,53,45,98
451,292,415,707
386,83,78,161
39,509,495,1004
426,341,344,685
324,60,32,92
230,52,36,88
287,62,34,96
504,111,148,259
330,115,103,218
132,370,347,717
390,85,83,168
577,40,30,70
107,297,241,538
488,61,69,130
444,84,112,196
291,210,217,427
140,121,89,210
142,68,38,106
137,163,131,294
454,405,506,911
250,73,60,133
4,174,155,329
270,114,84,198
293,133,116,249
342,193,184,377
265,194,204,398
407,114,145,259
531,71,91,162
42,584,583,1167
490,117,142,259
399,165,168,333
202,181,192,373
409,90,85,175
276,84,90,174
271,228,234,462
442,103,97,200
264,146,133,279
601,179,169,348
92,79,61,140
94,122,102,224
101,317,287,604
110,86,47,133
615,45,18,63
580,32,24,56
375,104,106,210
457,70,105,175
60,480,460,940
48,391,372,763
15,549,460,1009
431,44,39,83
486,172,241,413
239,86,76,162
25,638,655,1293
558,124,247,371
341,177,164,341
392,117,135,252
197,66,38,104
124,568,565,1133
247,159,149,308
420,54,58,112
66,189,149,338
315,268,280,548
180,141,127,268
259,239,225,464
561,63,50,113
159,114,94,208
487,74,66,140
333,74,70,144
416,70,57,127
351,248,263,511
204,109,101,210
125,330,299,629
55,185,134,319
70,344,333,677
290,123,106,229
18,528,522,1050
210,156,121,277
406,68,72,140
584,164,219,383
537,45,71,116
463,76,94,170
418,146,173,319
586,41,29,70
401,200,210,410
266,326,299,625
317,110,107,217
611,40,23,63
597,316,325,641
120,79,61,140
51,539,452,991
424,82,72,154
600,57,94,151
172,349,362,711
251,56,32,88
269,122,134,256
208,152,86,238
559,73,70,143
302,361,388,749
152,74,54,128
63,277,252,529
477,36,39,75
461,67,95,162
49,283,224,507
500,49,42,91
187,218,180,398
383,436,484,920
1,441,251,692
326,259,251,510
400,85,76,161
414,160,183,343
139,69,44,113
163,128,109,237
113,166,138,304
31,427,393,820
106,234,253,487
232,280,291,571
569,42,29,71
365,202,199,401
149,320,309,629
602,401,830,1231
620,81,80,161
238,205,198,403
128,311,306,617
214,271,275,546
563,66,74,140
565,66,74,140
411,82,94,176
76,100,59,159
